property_name,raw_location,proposed_clean_location,proposed_area_type,priority,square_footage,development_notes
Maddox-Tyndall,Corridor lighting,Corridor lighting,Corridor / Hallway,High Priority,,
Maddox-Tyndall,Corridors (2 floors/day),Corridors (2 floors/day),Corridor / Hallway,High Priority,,
Maddox-Tyndall,Corridors Gr.-10th Floor,Corridors Gr.-10th Floor,Corridor / Hallway,High Priority,,
Maddox-Tyndall,Corridors Gr.-11th Floor,Corridors Gr.-11th Floor,Corridor / Hallway,High Priority,,
Maddox-Tyndall,Elevator Tracks & Elevator,Elevator Tracks & Elevator,Elevator,High Priority,,
Maddox-Tyndall,Elevator doors and frames & ALL ELEVATOR TRACKS,Elevator doors and frames & ALL ELEVATOR TRACKS,Elevator,High Priority,,
Maddox-Tyndall,Enterphone area,Enterphone area,Lobby,High Priority,,
Maddox-Tyndall,Front,Front,Other / Unknown,High Priority,,
Maddox-Tyndall,GYM,GYM,Fitness,High Priority,,
Maddox-Tyndall,LAUNDRY,LAUNDRY,Amenity,High Priority,,
Maddox-Tyndall,Long Tiled Corridor to Side Exits A G & B G,Long Tiled Corridor to Side Exits A G & B G,Corridor / Hallway,High Priority,,
Maddox-Tyndall,Mail room,Mail room,Office / Admin,High Priority,,
Maddox-Tyndall,Main Entrance,Main Entrance,Lobby,High Priority,,
Maddox-Tyndall,Main Lobby,Main Lobby,Lobby,High Priority,,
Maddox-Tyndall,Parcel Rm,Parcel Rm,Office / Admin,High Priority,,
Maddox-Tyndall,Sitting Area,Sitting Area,Other / Unknown,High Priority,,
Maddox-Tyndall,parking lobby B floor,parking lobby B floor,Parking,High Priority,,
Maddox-Tyndall,Chute Room Tiles,Chute Room Tiles,Waste / Garbage,Medium Priority,,
Maddox-Tyndall,Chutes Gr.-10th floor,Chutes Gr.-10th floor,Waste / Garbage,Medium Priority,,
Maddox-Tyndall,MAINTENANCE ROOM,MAINTENANCE ROOM,Mechanical / Back-of-House,Medium Priority,,
